epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,10948.6,0.57674,0.37492,0.9806,0.97586,0.97807,0.98694,0.62939,1.29234,0.5919,1.2537,0.000627292,0.000627292,0.000627292
65,11117.8,0.58968,0.37266,0.98641,0.93395,0.96222,0.97779,0.61801,1.26318,0.61796,1.24994,0.000610789,0.000610789,0.000610789
66,11289.4,0.58253,0.3652,0.97803,0.96279,0.94809,0.97975,0.62451,1.29158,0.65089,1.24363,0.000594286,0.000594286,0.000594286
67,11460.3,0.58402,0.35863,0.97789,0.96562,0.97611,0.98548,0.62692,1.31447,0.53681,1.26058,0.000577782,0.000577782,0.000577782
68,11630.6,0.58581,0.35782,0.98746,0.96171,0.95528,0.97968,0.62667,1.32834,0.65226,1.27063,0.000561279,0.000561279,0.000561279
69,11801.7,0.55217,0.36158,0.97208,0.97312,0.96372,0.98172,0.61864,1.27949,0.56496,1.23814,0.000544776,0.000544776,0.000544776
70,11971.1,0.56679,0.36323,0.97906,0.94335,0.94833,0.97823,0.62842,1.25977,0.58118,1.22,0.000528272,0.000528272,0.000528272
71,12142.1,0.56542,0.35013,0.97872,0.94476,0.95722,0.97035,0.60433,1.36596,0.815,1.31798,0.000511769,0.000511769,0.000511769
72,12313.2,0.57121,0.34917,0.98029,0.97031,0.96917,0.97894,0.60028,1.25351,0.58653,1.23861,0.000495266,0.000495266,0.000495266
73,12484.6,0.57269,0.36149,0.98746,0.9723,0.96222,0.98202,0.63276,1.2548,0.54526,1.2388,0.000478762,0.000478762,0.000478762
74,12655.6,0.55502,0.34791,0.97197,0.9822,0.97656,0.98382,0.6282,1.27329,0.55564,1.26171,0.000462259,0.000462259,0.000462259
75,12827.1,0.55297,0.34855,0.97979,0.95132,0.95581,0.97051,0.61519,1.27884,0.61236,1.2576,0.000445756,0.000445756,0.000445756
76,12998.4,0.57211,0.36101,0.97382,0.97078,0.95963,0.98156,0.62173,1.26574,0.5571,1.22004,0.000429253,0.000429253,0.000429253
77,13168.7,0.54737,0.34122,0.97038,0.98685,0.96813,0.98662,0.6368,1.27394,0.5365,1.24548,0.000412749,0.000412749,0.000412749
78,13340.4,0.53617,0.33371,0.96907,0.98527,0.98306,0.98689,0.62591,1.27641,0.51398,1.2341,0.000396246,0.000396246,0.000396246
